TC3 scheduled/num_streams 114/173 = 65.9%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 24, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (92.0, '%', 'unscheduled', 4, 'total', 52, 'e2e too large', [], 'bandwidth violation', [106, 125, 134, 136])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (43.0, '%', 'unscheduled', 55, 'total', 97, 'e2e too large', [], 'bandwidth violation', [16, 60, 29, 148, 55, 85, 80, 13, 104, 14, 156, 91, 81, 64, 18, 89, 172, 116, 88, 59, 7, 48, 149, 79, 108, 27, 43, 94, 23, 40, 95, 11, 58, 30, 114, 112, 127, 8, 25, 66, 107, 100, 71, 9, 130, 82, 171, 121, 47, 128, 39, 111, 6, 131, 65])
Stream: id 6 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_2 | period 40.0| deadline 33.72 | size 475| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q6', 'q5', 'q7']
Stream: id 81 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_0_0 | period 100.0| deadline 33.72 | size 698| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 64 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_2_2 | period 40.0| deadline 33.8 | size 667| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q7', 'q6']
Stream: id 99 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_0 | period 100.0| deadline 33.84 | size 707| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'node0_0_1_0']['q7', 'q6']
Stream: id 13 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_1 | period 200.0| deadline 34.12 | size 1231| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q5']
Stream: id 29 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_1 | period 40.0| deadline 34.16 | size 1294| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q5', 'q7']
Stream: id 104 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_0 | period 40.0| deadline 34.24 | size 1183| injection delay:0['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5', 'q7']
Stream: id 59 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_1_2 | period 40.0| deadline 34.28 | size 1298| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q5', 'q7']
Stream: id 38 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_0_2 | period 200.0| deadline 34.4 | size 843| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 112 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_2_2 | period 40.0| deadline 34.44 | size 1292| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q6', 'q5', 'q6']
Stream: id 61 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_1 | period 200.0| deadline 34.52 | size 519| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q6', 'q5', 'q7']
